date,guild,score
2026-04-17,FBI,1
2026-04-17,MoonRiver,1
2026-04-17,MiaoMeow,2
2026-04-17,Hishaku,2
2026-04-17,BrigadePhantom,1
2026-04-17,EMH-Shogunate,1
2026-04-17,Jardin-Lunaire,1
2026-04-17,NhatNguyet,1
2026-04-17,Sanctuarys,1
2026-04-17,Star·Bound,1
2026-04-17,Toronto,1
2026-04-17,WITCHERS,50
2026-04-17,Paragon,43
2026-04-17,Kapwa,17
2026-04-17,CelestialDawn,20
2026-04-17,NíneLives,30
2026-04-17,Mountains,86
2026-04-17,Desolate,19
2026-04-17,TigreEcarlate,47
2026-04-17,Tethys,23
2026-04-17,LimitedEdition,24
2026-04-17,連燈,36
2026-04-17,Imperialis,21
2026-04-17,DanmeiSect,19
2026-04-17,Clandestine,67
2026-04-17,Pleasure Seekers (OCE/SEA),28
2026-04-17,Dragons-Heirs,38
2026-04-17,MoonlitPath,14
2026-04-17,Hellsing(SEA),30
2026-04-17,AdriftWanderes,48
2026-04-17,BlackFurry,108
2026-04-17,VN-HoàngKim,32
2026-04-17,Velocity,48
2026-04-17,Mutiny,39
2026-04-17,Party-Crashers,27
2026-04-17,Echoes-of-Sin,25
2026-04-17,Zhou,18
2026-04-17,会Ashura,53
2026-04-17,KALYANMITR,15
2026-04-17,Iridium,17
2026-04-17,Visual,14
2026-04-17,Melancolypse,20
2026-04-17,Ħao,15
2026-04-17,Comfy,12
2026-04-17,ASWANG,15
2026-04-17,Liberty-City,15
2026-04-17,Jasmin'Tea,18
2026-04-17,AfterFlame,27
2026-04-17,COBAKA,64
2026-04-17,CobraKai,21
2026-04-17,Jenova,20
2026-04-17,PurrfectCats,11
2026-04-17,Mooncakes,14
2026-04-17,雅韻翩然,13
2026-04-17,Hogwarts atmaFC Funcorp SEA,9
2026-04-17,ASMONGLERS,8
2026-04-17,GGK,21
2026-04-17,Kitty,19
2026-04-17,AzureBlossoms,22
2026-04-17,SHAMELESS,95
2026-04-17,GoldenOrcas,26
2026-04-17,天下一家,18
2026-04-17,SoloLevelFish,11
2026-04-17,The Loveless,24
2026-04-17,Exiled,13
2026-04-17,The Inner Ways,25
2026-04-17,RoninLegacy,20
2026-04-18,MacDandChill,1
2026-04-18,DimsumDaily,2
2026-04-18,Only-Fans,1
2026-04-18,Infinite,2
2026-04-18,Bonsai,1
2026-04-18,TheBigEgg,1
2026-04-18,x-Void-x,1
2026-04-18,CastAway,1
2026-04-18,AzureQilin,2
2026-04-18,Heavenly Sage,2
2026-04-18,UndyingEmbers,2
2026-04-18,GuangDong,1
2026-04-18,Diva,1
2026-04-18,SHlTMAN,1
2026-04-18,FBI,1
2026-04-18,MoonRiver,1
2026-04-18,MiaoMeow,2
2026-04-18,Hishaku,2
2026-04-18,BrigadePhantom,1
2026-04-18,EMH-Shogunate,1
2026-04-18,Jardin-Lunaire,1
2026-04-18,NhatNguyet,1
2026-04-18,Sanctuarys,1
2026-04-18,Star·Bound,1
2026-04-18,Toronto,1
2026-04-18,WITCHERS,54
2026-04-18,Paragon,47
2026-04-18,Kapwa,17
2026-04-18,CelestialDawn,20
2026-04-18,NíneLives,39
2026-04-18,Mountains,90
2026-04-18,Desolate,19
2026-04-18,TigreEcarlate,47
2026-04-18,Tethys,23
2026-04-18,LimitedEdition,24
2026-04-18,連燈,36
2026-04-18,Imperialis,21
2026-04-18,DanmeiSect,22
2026-04-18,Clandestine,74
2026-04-18,Pleasure Seekers (OCE/SEA),32
2026-04-18,Dragons-Heirs,41
2026-04-18,MoonlitPath,14
2026-04-18,Hellsing(SEA),30
2026-04-18,AdriftWanderes,48
2026-04-18,BlackFurry,126
2026-04-18,VN-HoàngKim,33
2026-04-18,Velocity,48
2026-04-18,Mutiny,44
2026-04-18,Party-Crashers,27
2026-04-18,Echoes-of-Sin,25
2026-04-18,Zhou,18
2026-04-18,会Ashura,58
2026-04-18,KALYANMITR,15
2026-04-18,Iridium,17
2026-04-18,Visual,14
2026-04-18,Melancolypse,20
2026-04-18,Comfy,12
2026-04-18,ASWANG,15
2026-04-18,Liberty-City,15
2026-04-18,Jasmin'Tea,18
2026-04-18,AfterFlame,33
2026-04-18,COBAKA,66
2026-04-18,CobraKai,21
2026-04-18,Jenova,20
2026-04-18,PurrfectCats,11
2026-04-18,Mooncakes,22
2026-04-18,雅韻翩然,18
2026-04-18,Hogwarts atmaFC Funcorp SEA,10
2026-04-18,ASMONGLERS,18
2026-04-18,GGK,33
2026-04-18,Kitty,23
2026-04-18,AzureBlossoms,23
2026-04-18,SHAMELESS,111
2026-04-18,GoldenOrcas,47
2026-04-18,天下一家,19
2026-04-18,SoloLevelFish,12
2026-04-18,The Loveless,31
2026-04-18,Exiled,16
2026-04-18,The Inner Ways,36
2026-04-18,RoninLegacy,27
2026-04-18,HAO,19
2026-04-18,CoZodiaC,18
2026-04-18,墨雨樓,4
2026-04-18,WhereSpeedRuns,7
2026-04-18,L'Akatsuki,4
2026-04-18,WhoInventedYou,1
2026-04-19,CloudPath,1
2026-04-19,ALLSTARS,2
2026-04-19,LeafSide,1
2026-04-19,YAKUZA,1
2026-04-19,Singapore,1
2026-04-19,Clouds,1
2026-04-19,MacDandChill,1
2026-04-19,DimsumDaily,2
2026-04-19,Only-Fans,1
2026-04-19,Infinite,2
2026-04-19,Bonsai,1
2026-04-19,TheBigEgg,1
2026-04-19,x-Void-x,1
2026-04-19,CastAway,1
2026-04-19,AzureQilin,2
2026-04-19,Heavenly Sage,2
2026-04-19,UndyingEmbers,2
2026-04-19,GuangDong,1
2026-04-19,Diva,1
2026-04-19,SHlTMAN,1
2026-04-19,FBI,1
2026-04-19,MoonRiver,1
2026-04-19,MiaoMeow,2
2026-04-19,Hishaku,2
2026-04-19,BrigadePhantom,1
2026-04-19,EMH-Shogunate,1
2026-04-19,Jardin-Lunaire,1
2026-04-19,NhatNguyet,1
2026-04-19,Sanctuarys,1
2026-04-19,Star·Bound,1
2026-04-19,Toronto,1
2026-04-19,WITCHERS,70
2026-04-19,Paragon,64
2026-04-19,Kapwa,32
2026-04-19,CelestialDawn,35
2026-04-19,NíneLives,57
2026-04-19,Mountains,109
2026-04-19,Desolate,35
2026-04-19,TigreEcarlate,70
2026-04-19,Tethys,40
2026-04-19,LimitedEdition,47
2026-04-19,連燈,52
2026-04-19,Imperialis,44
2026-04-19,DanmeiSect,45
2026-04-19,Clandestine,91
2026-04-19,Pleasure Seekers (OCE/SEA),60
2026-04-19,Dragons-Heirs,58
2026-04-19,MoonlitPath,14
2026-04-19,Hellsing(SEA),45
2026-04-19,AdriftWanderes,63
2026-04-19,BlackFurry,153
2026-04-19,VN-HoàngKim,48
2026-04-19,Velocity,63
2026-04-19,Mutiny,59
2026-04-19,Party-Crashers,45
2026-04-19,Echoes-of-Sin,40
2026-04-19,Zhou,33
2026-04-19,会Ashura,92
2026-04-19,KALYANMITR,30
2026-04-19,Iridium,32
2026-04-19,Visual,30
2026-04-19,Melancolypse,38
2026-04-19,Comfy,29
2026-04-19,ASWANG,15
2026-04-19,Liberty-City,38
2026-04-19,Jasmin'Tea,41
2026-04-19,AfterFlame,48
2026-04-19,COBAKA,81
2026-04-19,CobraKai,21
2026-04-19,Jenova,35
2026-04-19,PurrfectCats,26
2026-04-19,Mooncakes,39
2026-04-19,雅韻翩然,35
2026-04-19,Hogwarts atmaFC Funcorp SEA,25
2026-04-19,ASMONGLERS,36
2026-04-19,GGK,49
2026-04-19,Kitty,38
2026-04-19,AzureBlossoms,38
2026-04-19,SHAMELESS,151
2026-04-19,GoldenOrcas,69
2026-04-19,天下一家,34
2026-04-19,SoloLevelFish,35
2026-04-19,The Loveless,52
2026-04-19,Exiled,31
2026-04-19,The Inner Ways,59
2026-04-19,RoninLegacy,42
2026-04-19,HAO,34
2026-04-19,CoZodiaC,41
2026-04-19,墨雨樓,22
2026-04-19,WhereSpeedRuns,28
2026-04-19,L'Akatsuki,22
2026-04-19,WhoInventedYou,24
2026-04-20,10206350,1
2026-04-20,Kindreds,1
2026-04-20,Centerra,16
2026-04-20,RONIN-EMPIRE,2
2026-04-20,CloudPath,1
2026-04-20,ALLSTARS,2
2026-04-20,LeafSide,1
2026-04-20,YAKUZA,1
2026-04-20,Singapore,1
2026-04-20,Clouds,1
2026-04-20,MacDandChill,1
2026-04-20,DimsumDaily,2
2026-04-20,Only-Fans,1
2026-04-20,Infinite,2
2026-04-20,Bonsai,1
2026-04-20,TheBigEgg,1
2026-04-20,x-Void-x,1
2026-04-20,CastAway,1
2026-04-20,AzureQilin,2
2026-04-20,Heavenly Sage,32
2026-04-20,UndyingEmbers,2
2026-04-20,GuangDong,1
2026-04-20,Diva,1
2026-04-20,SHlTMAN,1
2026-04-20,FBI,1
2026-04-20,MoonRiver,1
2026-04-20,MiaoMeow,2
2026-04-20,Hishaku,2
2026-04-20,BrigadePhantom,1
2026-04-20,EMH-Shogunate,1
2026-04-20,Jardin-Lunaire,1
2026-04-20,NhatNguyet,1
2026-04-20,Sanctuarys,1
2026-04-20,Star·Bound,1
2026-04-20,Toronto,1
2026-04-20,WITCHERS,70
2026-04-20,Paragon,64
2026-04-20,Kapwa,32
2026-04-20,CelestialDawn,35
2026-04-20,NíneLives,57
2026-04-20,Mountains,115
2026-04-20,Desolate,38
2026-04-20,TigreEcarlate,70
2026-04-20,Tethys,58
2026-04-20,LimitedEdition,62
2026-04-20,連燈,52
2026-04-20,Imperialis,47
2026-04-20,DanmeiSect,45
2026-04-20,Clandestine,91
2026-04-20,Pleasure Seekers (OCE/SEA),72
2026-04-20,Dragons-Heirs,61
2026-04-20,MoonlitPath,14
2026-04-20,Hellsing(SEA),45
2026-04-20,AdriftWanderes,63
2026-04-20,BlackFurry,157
2026-04-20,VN-HoàngKim,51
2026-04-20,Velocity,63
2026-04-20,Mutiny,59
2026-04-20,Party-Crashers,45
2026-04-20,Echoes-of-Sin,43
2026-04-20,Zhou,33
2026-04-20,会Ashura,92
2026-04-20,KALYANMITR,30
2026-04-20,Iridium,32
2026-04-20,Visual,33
2026-04-20,Melancolypse,38
2026-04-20,Comfy,29
2026-04-20,ASWANG,15
2026-04-20,Liberty-City,38
2026-04-20,Jasmin'Tea,41
2026-04-20,AfterFlame,48
2026-04-20,COBAKA,83
2026-04-20,CobraKai,21
2026-04-20,Jenova,38
2026-04-20,PurrfectCats,29
2026-04-20,Mooncakes,42
2026-04-20,雅韻翩然,47
2026-04-20,Hogwarts atmaFC Funcorp SEA,28
2026-04-20,ASMONGLERS,36
2026-04-20,GGK,66
2026-04-20,Kitty,44
2026-04-20,AzureBlossoms,38
2026-04-20,SHAMELESS,161
2026-04-20,GoldenOrcas,75
2026-04-20,天下一家,37
2026-04-20,SoloLevelFish,38
2026-04-20,The Loveless,58
2026-04-20,Exiled,31
2026-04-20,The Inner Ways,59
2026-04-20,RoninLegacy,45
2026-04-20,HAO,34
2026-04-20,CoZodiaC,41
2026-04-20,墨雨樓,25
2026-04-20,WhereSpeedRuns,31
2026-04-20,L'Akatsuki,31
2026-04-20,WhoInventedYou,27
2026-04-21,DrunkenFist,1
2026-04-21,SleepingHall,1
2026-04-21,AxiomOfWar,1
2026-04-21,bunny,2
2026-04-21,ShadowDrifters,1
2026-04-21,hotties,1
2026-04-21,10206350,1
2026-04-21,Kindreds,1
2026-04-21,Centerra,33
2026-04-21,RONIN-EMPIRE,2
2026-04-21,CloudPath,1
2026-04-21,ALLSTARS,2
2026-04-21,LeafSide,1
2026-04-21,YAKUZA,1
2026-04-21,Clouds,1
2026-04-21,MacDandChill,1
2026-04-21,DimsumDaily,2
2026-04-21,Only-Fans,1
2026-04-21,Infinite,2
2026-04-21,Bonsai,1
2026-04-21,TheBigEgg,1
2026-04-21,x-Void-x,1
2026-04-21,CastAway,1
2026-04-21,AzureQilin,2
2026-04-21,Heavenly Sage,38
2026-04-21,UndyingEmbers,2
2026-04-21,GuangDong,1
2026-04-21,Diva,1
2026-04-21,SHlTMAN,1
2026-04-21,FBI,1
2026-04-21,MoonRiver,1
2026-04-21,MiaoMeow,2
2026-04-21,Hishaku,2
2026-04-21,BrigadePhantom,1
2026-04-21,EMH-Shogunate,1
2026-04-21,Jardin-Lunaire,1
2026-04-21,NhatNguyet,1
2026-04-21,Sanctuarys,1
2026-04-21,Star·Bound,1
2026-04-21,Toronto,1
2026-04-21,WITCHERS,74
2026-04-21,Paragon,67
2026-04-21,Kapwa,32
2026-04-21,CelestialDawn,35
2026-04-21,NíneLives,60
2026-04-21,Mountains,140
2026-04-21,Desolate,41
2026-04-21,TigreEcarlate,70
2026-04-21,Tethys,73
2026-04-21,LimitedEdition,63
2026-04-21,連燈,70
2026-04-21,Imperialis,50
2026-04-21,DanmeiSect,45
2026-04-21,Clandestine,96
2026-04-21,Pleasure Seekers (OCE/SEA),73
2026-04-21,Dragons-Heirs,61
2026-04-21,MoonlitPath,14
2026-04-21,Hellsing(SEA),45
2026-04-21,AdriftWanderes,63
2026-04-21,BlackFurry,176
2026-04-21,VN-HoàngKim,51
2026-04-21,Velocity,63
2026-04-21,Mutiny,59
2026-04-21,Party-Crashers,45
2026-04-21,Echoes-of-Sin,43
2026-04-21,Zhou,33
2026-04-21,会Ashura,108
2026-04-21,KALYANMITR,30
2026-04-21,Iridium,32
2026-04-21,Visual,33
2026-04-21,Melancolypse,38
2026-04-21,Comfy,29
2026-04-21,ASWANG,15
2026-04-21,Liberty-City,38
2026-04-21,Jasmin'Tea,41
2026-04-21,AfterFlame,48
2026-04-21,COBAKA,86
2026-04-21,CobraKai,21
2026-04-21,Jenova,38
2026-04-21,PurrfectCats,29
2026-04-21,Mooncakes,42
2026-04-21,雅韻翩然,50
2026-04-21,Hogwarts atmaFC Funcorp SEA,28
2026-04-21,ASMONGLERS,40
2026-04-21,GGK,72
2026-04-21,Kitty,48
2026-04-21,AzureBlossoms,38
2026-04-21,SHAMELESS,171
2026-04-21,GoldenOrcas,99
2026-04-21,天下一家,40
2026-04-21,SoloLevelFish,38
2026-04-21,The Loveless,58
2026-04-21,Exiled,32
2026-04-21,The Inner Ways,122
2026-04-21,RoninLegacy,45
2026-04-21,HAO,34
2026-04-21,CoZodiaC,41
2026-04-21,墨雨樓,28
2026-04-21,WhereSpeedRuns,33
2026-04-21,L'Akatsuki,33
2026-04-21,WhoInventedYou,27
2026-04-21,SNEJNAYA,114
2026-04-21,Nyghtshade Guild Showcase,10
2026-04-21,Singapore Guild Showcase,31
2026-04-22,Deified,1
2026-04-22,DrunkenFist,1
2026-04-22,SleepingHall,1
2026-04-22,AxiomOfWar,1
2026-04-22,Veil,4
2026-04-22,bunny,2
2026-04-22,ShadowDrifters,3
2026-04-22,hotties,1
2026-04-22,10206350,1
2026-04-22,Kindreds,1
2026-04-22,Centerra,32
2026-04-22,RONIN-EMPIRE,2
2026-04-22,CloudPath,1
2026-04-22,ALLSTARS,2
2026-04-22,LeafSide,1
2026-04-22,YAKUZA,1
2026-04-22,MacDandChill,1
2026-04-22,DimsumDaily,2
2026-04-22,Only-Fans,1
2026-04-22,Infinite,2
2026-04-22,Bonsai,1
2026-04-22,TheBigEgg,1
2026-04-22,x-Void-x,1
2026-04-22,CastAway,1
2026-04-22,AzureQilin,2
2026-04-22,Heavenly Sage,33
2026-04-22,UndyingEmbers,2
2026-04-22,GuangDong,1
2026-04-22,Diva,1
2026-04-22,SHlTMAN,1
2026-04-22,FBI,1
2026-04-22,MoonRiver,1
2026-04-22,MiaoMeow,2
2026-04-22,Hishaku,2
2026-04-22,EncoreEnTaule,1
2026-04-22,EMH-Shogunate,1
2026-04-22,Jardin-Lunaire,1
2026-04-22,NhatNguyet,1
2026-04-22,Sanctuarys,1
2026-04-22,Star·Bound,1
2026-04-22,Toronto,1
2026-04-22,WITCHERS,80
2026-04-22,Paragon,68
2026-04-22,Kapwa,31
2026-04-22,CelestialDawn,37
2026-04-22,NíneLives,59
2026-04-22,Mountains,126
2026-04-22,Desolate,37
2026-04-22,TigreEcarlate,59
2026-04-22,Tethys,72
2026-04-22,LimitedEdition,66
2026-04-22,連燈,72
2026-04-22,Imperialis,51
2026-04-22,DanmeiSect,48
2026-04-22,Clandestine,83
2026-04-22,Pleasure Seekers (OCE/SEA),70
2026-04-22,Dragons-Heirs,55
2026-04-22,MoonlitPath,14
2026-04-22,Hellsing(SEA),43
2026-04-22,AdriftWanderes,63
2026-04-22,BlackFurry,160
2026-04-22,VN-HoàngKim,53
2026-04-22,Velocity,61
2026-04-22,Mutiny,54
2026-04-22,Party-Crashers,46
2026-04-22,Echoes-of-Sin,46
2026-04-22,Zhou,34
2026-04-22,会Ashura,104
2026-04-22,KALYANMITR,30
2026-04-22,Iridium,32
2026-04-22,Visual,35
2026-04-22,Melancolypse,38
2026-04-22,Comfy,32
2026-04-22,ASWANG,15
2026-04-22,Liberty-City,42
2026-04-22,Jasmin'Tea,45
2026-04-22,AfterFlame,54
2026-04-22,COBAKA,79
2026-04-22,CobraKai,21
2026-04-22,Jenova,38
2026-04-22,PurrfectCats,29
2026-04-22,Mooncakes,42
2026-04-22,雅韻翩然,50
2026-04-22,Hogwarts atmaFC Funcorp SEA,27
2026-04-22,ASMONGLERS,37
2026-04-22,GGK,62
2026-04-22,Kitty,43
2026-04-22,AzureBlossoms,38
2026-04-22,SHAMELESS,160
2026-04-22,GoldenOrcas,78
2026-04-22,天下一家,39
2026-04-22,SoloLevelFish,40
2026-04-22,The Loveless,54
2026-04-22,Exiled,34
2026-04-22,The Inner Ways,94
2026-04-22,RoninLegacy,42
2026-04-22,HAO,35
2026-04-22,CoZodiaC,43
2026-04-22,墨雨樓,27
2026-04-22,WhereSpeedRuns,32
2026-04-22,L'Akatsuki,32
2026-04-22,WhoInventedYou,28
2026-04-22,SNEJNAYA,105
2026-04-22,Nyghtshade Guild Showcase,4
2026-04-22,Singapore Guild Showcase,34
2026-04-22,IronLotusCo,23
2026-04-22,Clouds,28
2026-04-22,Noodles,17
2026-04-22,Vivid,17
2026-04-23,LeafSide,2
2026-04-23,Inquisitors,1
2026-04-23,WarungKopi,1
2026-04-23,Deified,1
2026-04-23,DrunkenFist,1
2026-04-23,SleepingHall,1
2026-04-23,AxiomOfWar,1
2026-04-23,bunny,2
2026-04-23,ShadowDrifters,3
2026-04-23,hotties,1
2026-04-23,10206350,1
2026-04-23,Centerra,35
2026-04-23,RONIN-EMPIRE,2
2026-04-23,CloudPath,1
2026-04-23,ALLSTARS,2
2026-04-23,LeafSide,1
2026-04-23,YAKUZA,1
2026-04-23,MacDandChill,1
2026-04-23,DimsumDaily,2
2026-04-23,Only-Fans,1
2026-04-23,Infinite,2
2026-04-23,Bonsai,1
2026-04-23,TheBigEgg,1
2026-04-23,x-Void-x,1
2026-04-23,CastAway,1
2026-04-23,AzureQilin,2
2026-04-23,Heavenly Sage,36
2026-04-23,UndyingEmbers,2
2026-04-23,GuangDong,1
2026-04-23,Diva,1
2026-04-23,SHlTMAN,1
2026-04-23,FBI,1
2026-04-23,MoonRiver,1
2026-04-23,MiaoMeow,2
2026-04-23,Hishaku,2
2026-04-23,EncoreEnTaule,1
2026-04-23,EMH-Shogunate,1
2026-04-23,Jardin-Lunaire,1
2026-04-23,NhatNguyet,1
2026-04-23,Sanctuarys,1
2026-04-23,Star·Bound,1
2026-04-23,Toronto,1
2026-04-23,WITCHERS,90
2026-04-23,Paragon,68
2026-04-23,Kapwa,35
2026-04-23,CelestialDawn,38
2026-04-23,NíneLives,65
2026-04-23,Mountains,134
2026-04-23,Desolate,40
2026-04-23,TigreEcarlate,59
2026-04-23,Tethys,75
2026-04-23,LimitedEdition,66
2026-04-23,連燈,72
2026-04-23,Imperialis,51
2026-04-23,DanmeiSect,48
2026-04-23,Clandestine,93
2026-04-23,Pleasure Seekers (OCE/SEA),76
2026-04-23,Dragons-Heirs,55
2026-04-23,MoonlitPath,14
2026-04-23,Hellsing(SEA),46
2026-04-23,AdriftWanderes,66
2026-04-23,BlackFurry,180
2026-04-23,VN-HoàngKim,53
2026-04-23,Velocity,61
2026-04-23,Mutiny,54
2026-04-23,Party-Crashers,46
2026-04-23,Echoes-of-Sin,46
2026-04-23,Zhou,34
2026-04-23,会Ashura,109
2026-04-23,KALYANMITR,33
2026-04-23,Iridium,32
2026-04-23,Visual,35
2026-04-23,Melancolypse,38
2026-04-23,Comfy,32
2026-04-23,ASWANG,15
2026-04-23,Liberty-City,42
2026-04-23,Jasmin'Tea,45
2026-04-23,AfterFlame,58
2026-04-23,COBAKA,90
2026-04-23,CobraKai,21
2026-04-23,Jenova,50
2026-04-23,PurrfectCats,29
2026-04-23,Mooncakes,42
2026-04-23,雅韻翩然,50
2026-04-23,Hogwarts atmaFC Funcorp SEA,27
2026-04-23,ASMONGLERS,46
2026-04-23,GGK,68
2026-04-23,Kitty,43
2026-04-23,AzureBlossoms,41
2026-04-23,SHAMELESS,176
2026-04-23,GoldenOrcas,81
2026-04-23,天下一家,42
2026-04-23,SoloLevelFish,43
2026-04-23,The Loveless,57
2026-04-23,Exiled,41
2026-04-23,The Inner Ways,97
2026-04-23,RoninLegacy,45
2026-04-23,HAO,41
2026-04-23,CoZodiaC,46
2026-04-23,墨雨樓,32
2026-04-23,WhereSpeedRuns,35
2026-04-23,L'Akatsuki,36
2026-04-23,WhoInventedYou,31
2026-04-23,SNEJNAYA,108
2026-04-23,Nyghtshade Guild Showcase,4
2026-04-23,Singapore Guild Showcase,43
2026-04-23,IronLotusCo,29
2026-04-23,Clouds,46
2026-04-23,Noodles,30
2026-04-23,Vivid,64
2026-04-23,Kindreds,41
2026-04-23,Veil,61
2026-04-23,WonderBread,20
2026-04-24,LeafSide,2
2026-04-24,Inquisitors,1
2026-04-24,WarungKopi,1
2026-04-24,Deified,1
2026-04-24,DrunkenFist,1
2026-04-24,SleepingHall,1
2026-04-24,AxiomOfWar,1
2026-04-24,bunny,2
2026-04-24,ShadowDrifters,3
2026-04-24,hotties,1
2026-04-24,10206350,1
2026-04-24,Centerra,35
2026-04-24,RONIN-EMPIRE,2
2026-04-24,CloudPath,1
2026-04-24,ALLSTARS,2
2026-04-24,LeafSide,1
2026-04-24,YAKUZA,1
2026-04-24,MacDandChill,1
2026-04-24,DimsumDaily,2
2026-04-24,Only-Fans,1
2026-04-24,Infinite,2
2026-04-24,Bonsai,1
2026-04-24,TheBigEgg,1
2026-04-24,x-Void-x,1
2026-04-24,CastAway,1
2026-04-24,AzureQilin,2
2026-04-24,Heavenly Sage,36
2026-04-24,UndyingEmbers,2
2026-04-24,GuangDong,1
2026-04-24,Diva,1
2026-04-24,SHlTMAN,1
2026-04-24,FBI,1
2026-04-24,MoonRiver,1
2026-04-24,MiaoMeow,2
2026-04-24,Hishaku,2
2026-04-24,EncoreEnTaule,1
2026-04-24,EMH-Shogunate,1
2026-04-24,Jardin-Lunaire,1
2026-04-24,NhatNguyet,1
2026-04-24,Sanctuarys,1
2026-04-24,Star·Bound,1
2026-04-24,Toronto,1
2026-04-24,WITCHERS,90
2026-04-24,Paragon,68
2026-04-24,Kapwa,35
2026-04-24,CelestialDawn,38
2026-04-24,NíneLives,65
2026-04-24,Mountains,134
2026-04-24,Desolate,40
2026-04-24,TigreEcarlate,59
2026-04-24,Tethys,72
2026-04-24,LimitedEdition,66
2026-04-24,連燈,72
2026-04-24,Imperialis,51
2026-04-24,DanmeiSect,48
2026-04-24,Clandestine,93
2026-04-24,Pleasure Seekers (OCE/SEA),76
2026-04-24,Dragons-Heirs,55
2026-04-24,MoonlitPath,14
2026-04-24,Hellsing(SEA),46
2026-04-24,AdriftWanderes,66
2026-04-24,BlackFurry,180
2026-04-24,VN-HoàngKim,53
2026-04-24,Velocity,61
2026-04-24,Mutiny,54
2026-04-24,Party-Crashers,46
2026-04-24,Echoes-of-Sin,46
2026-04-24,Zhou,34
2026-04-24,会Ashura,109
2026-04-24,KALYANMITR,33
2026-04-24,Iridium,32
2026-04-24,Visual,35
2026-04-24,Melancolypse,38
2026-04-24,Comfy,32
2026-04-24,ASWANG,15
2026-04-24,Liberty-City,42
2026-04-24,Jasmin'Tea,45
2026-04-24,AfterFlame,58
2026-04-24,COBAKA,90
2026-04-24,CobraKai,21
2026-04-24,Jenova,50
2026-04-24,PurrfectCats,29
2026-04-24,Mooncakes,42
2026-04-24,雅韻翩然,50
2026-04-24,Hogwarts atmaFC Funcorp SEA,27
2026-04-24,ASMONGLERS,46
2026-04-24,GGK,68
2026-04-24,Kitty,43
2026-04-24,AzureBlossoms,41
2026-04-24,SHAMELESS,176
2026-04-24,GoldenOrcas,81
2026-04-24,天下一家,42
2026-04-24,SoloLevelFish,43
2026-04-24,The Loveless,57
2026-04-24,Exiled,41
2026-04-24,The Inner Ways,97
2026-04-24,RoninLegacy,45
2026-04-24,HAO,41
2026-04-24,CoZodiaC,46
2026-04-24,墨雨樓,32
2026-04-24,WhereSpeedRuns,35
2026-04-24,L'Akatsuki,36
2026-04-24,WhoInventedYou,31
2026-04-24,SNEJNAYA,108
2026-04-24,Nyghtshade Guild Showcase,4
2026-04-24,Singapore Guild Showcase,43
2026-04-24,IronLotusCo,29
2026-04-24,Clouds,46
2026-04-24,Noodles,30
2026-04-24,Vivid,64
2026-04-24,Kindreds,41
2026-04-24,Veil,61
2026-04-24,WonderBread,20
